Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Temperature (C)
1682113284.1313806,37.876089,-122.259553,5.0,0,0
1682113289.5093172,37.876088,-122.259569,5.0,0,0
1682113295.002669,37.876096,-122.259566,4.0,0,0
1682113300.3671322,37.876103,-122.25956,4.0,0,0
1682113305.8086672,37.876106,-122.259558,5.0,0,0
1682113311.2328455,37.876101,-122.259558,4.5,0,0
1682113316.6387184,37.876118,-122.259548,4.0,0,0
1682113322.1621027,37.876139,-122.259538,4.5,0,0
1682113327.632037,37.876151,-122.259546,4.0,0,0
1682113333.0826035,37.876138,-122.259611,3.5,0,0
1682113338.5601764,37.876111,-122.259623,4.0,0,0
1682113344.0722325,37.876053,-122.259625,4.0,0,0
1682113349.5800405,37.875953,-122.259531,3.5,0,0
1682113355.12267,37.875911,-122.259451,4.0,0,0
1682113360.6127672,37.875893,-122.259263,4.0,0,0
1682113366.1294208,37.875845,-122.259195,4.0,0,0
1682113371.730715,37.875791,-122.259151,3.5,0,0
1682113377.261204,37.875726,-122.259158,3.0,0,0
1682113382.826732,37.875655,-122.259193,3.0,0,0
1682113388.458208,37.875566,-122.259233,5.0,0,0
1682113394.0926502,37.875426,-122.259348,5.0,0,0
1682113399.730067,37.875318,-122.25927,4.0,0,0
1682113405.33184,37.875304,-122.259273,4.0,0,0
1682113410.956544,37.875311,-122.259268,4.5,0,0
1682113416.6158295,37.87532,-122.259268,5.0,0,0
1682113422.2447174,37.875313,-122.259248,4.5,0,0
1682113427.8693054,37.875311,-122.259245,4.0,0,0
1682113433.5424707,37.875321,-122.2592,5.0,0,0
1682113439.253118,37.87535,-122.259098,5.0,0,0
1682113444.9633996,37.875356,-122.258991,5.0,0,0
1682113450.6209822,37.875328,-122.258941,5.0,0,0
1682113456.3280058,37.875321,-122.258915,5.0,0,0
1682113462.1621928,37.875304,-122.258909,4.0,0,0
1682113467.8827903,37.875296,-122.258911,5.0,0,0
1682113473.607289,37.875286,-122.258911,5.0,0,0
1682113479.3687162,37.87528,-122.258878,5.0,0,0
1682113485.1641264,37.87529,-122.258736,4.5,0,0
1682113490.9356647,37.875293,-122.25867,4.0,0,0
1682113496.6624055,37.87529,-122.258616,4.0,0,0
1682113502.4613087,37.87531,-122.258561,4.0,0,0
1682113508.223226,37.875338,-122.258493,4.5,0,0
1682113514.0478754,37.87532,-122.258431,5.0,0,0
1682113519.8836148,37.875313,-122.258415,4.5,0,0
1682113525.9082427,37.875285,-122.258384,4.0,0,0
1682113531.7683678,37.87525,-122.258361,3.5,0,0
1682113537.6149166,37.875226,-122.258365,3.0,0,0
1682113543.4576986,37.875231,-122.25837,4.0,0,0
1682113549.3078413,37.875243,-122.258348,4.0,0,0
1682113555.2254133,37.875271,-122.258351,4.0,0,0
1682113561.1203773,37.875376,-122.258251,4.0,0,0
1682113567.0434601,37.875375,-122.258168,3.0,0,0
1682113572.980643,37.875358,-122.258081,4.0,0,0
1682113578.8931255,37.875313,-122.258041,4.0,0,0
1682113584.8448176,37.875251,-122.258031,4.0,0,0
1682113590.7717376,37.875156,-122.257975,5.0,0,0
1682113596.7181945,37.875101,-122.257975,5.0,0,0
1682113602.6991765,37.87499,-122.25801,5.0,0,0
1682113608.6515896,37.874925,-122.258025,5.0,0,0
1682113614.6000805,37.8749,-122.257994,5.0,0,0
1682113620.6184158,37.874858,-122.257944,5.5,0,0
1682113626.7247262,37.874753,-122.257834,6.0,0,0
1682113632.7425272,37.874721,-122.257774,6.0,0,0
1682113638.828464,37.87465,-122.257776,6.0,0,0
1682113644.9919872,37.874616,-122.257791,5.0,0,0
1682113651.0815716,37.874511,-122.257755,5.0,0,0
1682113657.1545415,37.874409,-122.257728,5.0,0,0
1682113663.2442617,37.874326,-122.257796,5.5,0,0
1682113669.3539636,37.874323,-122.257856,5.5,0,0
1682113675.4516234,37.874301,-122.257944,4.0,0,0
1682113681.5671787,37.874213,-122.258158,4.0,0,0
1682113687.763253,37.87418,-122.258268,5.0,0,0
1682113693.9172254,37.874163,-122.258345,5.0,0,0
1682113700.1112323,37.874145,-122.258391,4.0,0,0
1682113706.25054,37.874123,-122.25846,4.0,0,0
1682113712.4252424,37.874126,-122.25847,4.5,0,0
1682113718.564964,37.874126,-122.25847,5.0,0,0
1682113724.7683828,37.874121,-122.258491,5.0,0,0
