Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Humidity (%),Pressure (Pa),Radiation (cps),Temperature (C)
1682118943.8377464,37.870075,-122.257285,5.0,0,0,0,0
1682118949.5225127,37.870083,-122.257278,4.0,0,0,0,0
1682118955.029532,37.870085,-122.257271,5.0,0,0,0,0
1682118960.5071502,37.870083,-122.257263,6.0,0,0,0,0
1682118966.0519118,37.87008,-122.257263,4.0,0,0,0,0
1682118971.6425767,37.870081,-122.257256,5.0,0,0,0,0
1682118977.2209249,37.870083,-122.257251,5.0,0,0,0,0
1682118982.8129127,37.870085,-122.257251,5.0,0,0,0,0
1682118988.4102418,37.87008,-122.257258,5.0,0,0,0,0
1682118994.12053,37.87008,-122.257248,5.0,0,0,0,0
1682118999.7825046,37.870088,-122.257263,6.0,0,0,0,0
1682119005.39404,37.870096,-122.257275,6.0,0,0,0,0
1682119011.1235693,37.870103,-122.25727,6.0,0,0,0,0
1682119016.8013568,37.87011,-122.257273,5.5,0,0,0,0
1682119022.463143,37.870115,-122.25728,5.0,0,0,0,0
1682119028.258983,37.870108,-122.25728,5.0,0,0,0,0
1682119034.0383499,37.870098,-122.257303,5.0,0,0,0,0
1682119039.8224163,37.870101,-122.257296,5.0,0,0,0,0
1682119045.6730392,37.8701,-122.257275,6.0,0,0,0,0
1682119051.5672855,37.870086,-122.257263,5.0,0,0,0,0
1682119057.4464378,37.870083,-122.257248,5.0,0,0,0,0
1682119063.343639,37.870083,-122.25725,5.0,0,0,0,0
1682119069.2442307,37.870096,-122.257273,5.0,0,0,0,0
1682119075.083274,37.870093,-122.257266,5.0,0,0,0,0
1682119081.0418031,37.870093,-122.257291,4.5,0,0,0,0
1682119086.9168112,37.870093,-122.257308,6.0,0,0,0,0
1682119092.8015535,37.870098,-122.257309,5.5,0,0,0,0
1682119098.7616723,37.8701,-122.257311,5.0,0,0,0,0
1682119104.7795343,37.870098,-122.257306,5.0,0,0,0,0
1682119110.7813041,37.870103,-122.257301,5.0,0,0,0,0
1682119116.786715,37.870101,-122.25729,5.0,0,0,0,0
1682119122.9707346,37.870115,-122.257271,5.0,0,0,0,0
1682119129.0377061,37.87012,-122.257256,5.0,0,0,0,0
1682119135.1275446,37.870113,-122.257251,5.0,0,0,0,0
1682119141.1923547,37.870106,-122.257251,5.0,0,0,0,0
1682119147.2943037,37.870105,-122.257246,5.0,0,0,0,0
1682119153.3975663,37.870096,-122.257246,5.0,0,0,0,0
1682119159.6109922,37.870095,-122.257268,5.0,0,0,0,0
1682119165.7728794,37.870091,-122.25727,5.0,0,0,0,0
1682119171.97708,37.870076,-122.257251,5.0,0,0,0,0
1682119178.2149994,37.870075,-122.257261,6.0,0,0,0,0
1682119184.4497619,37.870056,-122.257248,5.0,0,0,0,0
