Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Temperature (C)
1682113010.3310566,0,0,7.0,0,0
1682113015.8264146,0,0,7.0,0,0
1682113021.3574545,37.876633,-122.259748,7.0,0,0
1682113026.8489316,37.876436,-122.259639,7.0,0,0
1682113032.2668812,37.876393,-122.259565,7.0,0,0
1682113037.6757321,37.876383,-122.259536,7.0,0,0
1682113043.0993347,37.876429,-122.259501,7.0,0,0
1682113048.5513308,37.876426,-122.259455,6.0,0,0
1682113054.0145102,37.876461,-122.25938,6.0,0,0
1682113059.543241,37.876441,-122.259283,6.0,0,0
1682113065.063679,37.876386,-122.259243,4.5,0,0
1682113070.5599422,37.875978,-122.25909,4.0,0,0
1682113076.0650742,37.876001,-122.259078,4.0,0,0
1682113081.5986693,37.876041,-122.259071,3.0,0,0
1682113087.1724403,37.876096,-122.259103,3.0,0,0
1682113092.686754,37.876108,-122.25911,3.0,0,0
1682113098.2547328,37.87612,-122.259133,3.5,0,0
