Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Humidity (%),Pressure (Pa),Radiation (cps),Temperature (C)
1682118436.724216,37.870361,-122.257245,4.0,0,0,0,0
1682118442.2841127,37.870245,-122.257208,4.0,0,0,0,0
1682118447.8157768,37.870125,-122.257198,5.0,0,0,0,0
1682118453.2847416,37.87003,-122.257176,5.0,0,0,0,0
1682118458.8313296,37.869998,-122.257143,3.0,0,0,0,0
1682118464.3818095,37.870051,-122.257128,4.0,0,0,0,0
1682118469.968129,37.8701,-122.257136,4.0,0,0,0,0
1682118475.6303344,37.870115,-122.25716,3.0,0,0,0,0
1682118481.283872,37.870115,-122.257186,3.0,0,0,0,0
1682118486.9824138,37.870143,-122.257333,3.0,0,0,0,0
1682118492.6176517,37.870125,-122.257263,4.0,0,0,0,0
1682118498.5137413,37.870088,-122.257185,3.5,0,0,0,0
1682118504.4055135,37.870023,-122.257246,3.0,0,0,0,0
1682118510.3357873,37.869983,-122.257238,3.0,0,0,0,0
1682118516.159183,37.869981,-122.257248,3.0,0,0,0,0
1682118521.9536314,37.869998,-122.257276,3.0,0,0,0,0
1682118527.753935,37.869985,-122.257273,3.0,0,0,0,0
1682118533.5800533,37.87,-122.257285,3.5,0,0,0,0
1682118539.3842452,37.870001,-122.257288,4.0,0,0,0,0
1682118545.1835766,37.870006,-122.257288,4.0,0,0,0,0
1682118551.0899684,37.87001,-122.257293,4.0,0,0,0,0
1682118556.979118,37.87003,-122.257313,3.0,0,0,0,0
1682118562.8804927,37.870045,-122.25732,4.0,0,0,0,0
1682118568.7338865,37.870063,-122.257336,3.5,0,0,0,0
1682118574.6170886,37.870076,-122.257345,4.0,0,0,0,0
1682118580.5094323,37.870056,-122.257326,4.0,0,0,0,0
1682118586.4651127,37.870068,-122.257318,4.0,0,0,0,0
1682118592.462774,37.870073,-122.257308,4.0,0,0,0,0
1682118598.3975122,37.870063,-122.257309,4.0,0,0,0,0
1682118604.3934915,37.870071,-122.257336,4.0,0,0,0,0
1682118610.4325778,37.870058,-122.25734,4.0,0,0,0,0
1682118616.691588,37.870051,-122.25735,4.5,0,0,0,0
1682118622.8044832,37.870093,-122.257381,5.0,0,0,0,0
1682118628.8869884,37.87011,-122.257365,4.0,0,0,0,0
1682118634.9725275,37.870106,-122.257359,4.0,0,0,0,0
1682118641.1447406,37.870103,-122.257291,4.0,0,0,0,0
1682118647.3179953,37.870101,-122.257233,4.0,0,0,0,0
1682118653.4846556,37.870133,-122.257236,3.0,0,0,0,0
1682118659.6667695,37.870153,-122.257241,3.0,0,0,0,0
1682118665.8732588,37.870133,-122.257303,3.0,0,0,0,0
1682118672.0337307,37.870128,-122.257365,3.0,0,0,0,0
1682118678.3210313,37.870095,-122.257433,3.0,0,0,0,0
1682118684.606605,37.870103,-122.25743,4.0,0,0,0,0
1682118690.9378529,37.870115,-122.257383,3.0,0,0,0,0
1682118697.1622128,37.870126,-122.257366,3.0,0,0,0,0
1682118703.5012553,37.870126,-122.257391,3.0,0,0,0,0
1682118710.1058738,37.870125,-122.257359,4.0,0,0,0,0
1682118716.4635627,37.870161,-122.257318,4.0,0,0,0,0
1682118722.8767002,37.870128,-122.25733,4.0,0,0,0,0
1682118729.184857,37.87012,-122.257296,4.0,0,0,0,0
1682118735.610269,37.870145,-122.25727,5.0,0,0,0,0
1682118742.159536,37.870173,-122.257256,5.0,0,0,0,0
1682118748.6815805,37.870189,-122.257281,4.0,0,0,0,0
1682118755.1819692,37.87018,-122.257311,3.5,0,0,0,0
1682118761.6238782,37.870178,-122.2573,5.0,0,0,0,0
1682118768.1587796,37.870143,-122.257241,4.5,0,0,0,0
1682118774.649697,37.870126,-122.257215,4.0,0,0,0,0
1682118781.337725,37.870135,-122.257206,3.0,0,0,0,0
1682118787.9938896,37.87012,-122.257233,3.0,0,0,0,0
1682118794.4726124,37.870106,-122.257248,2.5,0,0,0,0
1682118801.0910766,37.870113,-122.25723,2.0,0,0,0,0
1682118807.6778245,37.870133,-122.257228,2.5,0,0,0,0
1682118814.3280141,37.870108,-122.257235,4.0,0,0,0,0
1682118821.0501108,37.870106,-122.257248,3.5,0,0,0,0
1682118827.6281018,37.870125,-122.25724,5.0,0,0,0,0
1682118834.4020798,37.870113,-122.25723,5.0,0,0,0,0
1682118841.1335225,37.870139,-122.257211,5.0,0,0,0,0
1682118848.1227589,37.870125,-122.257213,5.0,0,0,0,0
1682118854.8344483,37.870125,-122.257228,6.0,0,0,0,0
1682118861.54136,37.87012,-122.257243,6.0,0,0,0,0
1682118868.4489143,37.870105,-122.257253,6.5,0,0,0,0
1682118875.206707,37.870105,-122.25725,6.0,0,0,0,0
1682118882.002061,37.8701,-122.25725,6.0,0,0,0,0
1682118888.8215263,37.8701,-122.257243,5.0,0,0,0,0
1682118895.5641332,37.870095,-122.25725,5.0,0,0,0,0
