Epoch time,Latitude,Longitude,Radiation (cps)
1682126379.1643558,0,0,34.6
1682126384.5421538,0,0,35.6
1682126389.866323,0,0,35.6
1682126395.3267424,0,0,33.2
1682126400.6263094,0,0,29.2
1682126405.923445,0,0,32.8
1682126411.2270308,0,0,31.2
1682126416.5422235,0,0,31.2
1682126421.870801,0,0,39.4
1682126427.194591,0,0,33.0
1682126432.505231,0,0,34.0
1682126437.8440773,0,0,38.0
1682126443.1840022,0,0,37.0
1682126448.5326903,0,0,40.6
1682126453.8895288,0,0,40.6
1682126459.3401551,0,0,40.8
