time,temperature,gas,humidity,pressure,altitude,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0
1676677883,22.19074219,40266,16.96439025,1006.418695,57.0311615,0,2,2
1676677885,22.20910156,8369,16.94564656,1006.418684,57.03124778,0,2,2
1676677886,22.24875,12720,16.92797952,1006.425273,56.97608987,0,2,2
1676677887,22.28761719,15648,16.87094412,1006.435674,56.88902223,1,2,2
1676677888,22.32238281,17699,16.81372189,1006.444328,56.8165732,1,2,2
1676677889,22.35207031,19387,16.76117677,1006.459856,56.6865861,1,2,2
1676677891,22.37648438,20875,16.70838576,1006.456299,56.71636166,1,2,2
1676677892,22.3971875,22039,16.67505911,1006.460199,56.68371933,1,2,2
1676677893,22.414375,23135,16.63175116,1006.466756,56.6288276,1,2,2
1676677894,22.42980469,24076,16.59327393,1006.463533,56.65580527,1,2,2
1676677895,22.44289063,25040,16.55959437,1006.464931,56.64410255,1,2,2
1676677896,22.45363281,25779,16.5356116,1006.462405,56.66525026,1,2,2
1676677898,22.46359375,26665,16.5164959,1006.463698,56.65442842,1,2,2
1676677899,22.47238281,27343,16.48752285,1006.461319,56.67433961,1,2,2
1676677900,22.48019531,28038,16.46340755,1006.452178,56.750863,1,2,2
1676677901,22.48703125,28750,16.45394568,1006.451657,56.75522638,1,2,2
1676677902,22.49367188,29292,16.42977847,1006.452518,56.74802019,1,2,2
1676677904,22.49894531,29877,16.4202417,1006.457927,56.70274021,1,2,2
1676677905,22.50441406,30463,16.42051099,1006.465372,56.64041543,1,1,1
1676677906,22.50773438,31004,16.4059809,1006.460674,56.67973914,1,1,1
1676677907,22.51125,31564,16.41105159,1006.454594,56.73063559,1,1,1
1676677908,22.51476563,32120,16.40142935,1006.457061,56.70998947,1,1,1
1676677910,22.51847656,32569,16.40161192,1006.454726,56.72953317,1,1,1
1676677911,22.52160156,33136,16.38707407,1006.447992,56.78590604,1,1,1
1676677912,22.52511719,33614,16.3676609,1006.455586,56.72233416,0,1,1
1676677913,22.52824219,33913,16.35312698,1006.450561,56.76439921,0,1,1
1676677914,22.5315625,34386,16.33370953,1006.459538,56.68925529,0,1,1
1676677916,22.53449219,34642,16.31916998,1006.459314,56.69113054,0,0,0
1676677917,22.53664063,35077,16.34864363,1006.456072,56.71826249,0,0,0
1676677918,22.53917969,35523,16.35366372,1006.455194,56.72561202,0,0,0
1676677919,22.5409375,35826,16.35864574,1006.456427,56.71529029,0,1,1
1676677920,22.54503906,36292,16.36863933,1006.454746,56.72936491,0,1,1
1676677922,22.54875,36545,16.37861481,1006.45412,56.73460433,0,1,1
1676677923,22.55167969,36866,16.38855292,1006.453896,56.73648173,0,0,0
1676677924,22.55421875,37259,16.40826871,1006.451308,56.75814256,0,0,0
1676677925,22.55753906,37695,16.39863619,1006.453447,56.74023752,0,0,0
1676677926,22.55949219,37968,16.39873229,1006.451588,56.7557995,0,0,0
1676677927,22.56203125,38280,16.3939595,1006.454129,56.73453199,0,0,0
1676677929,22.56515625,38421,16.399011,1006.455941,56.71936431,0,0,0
1676677930,22.56769531,38992,16.41383063,1006.458481,56.69809708,0,0,0
1676677931,22.57140625,39322,16.41401339,1006.459564,56.68902968,0,0,0
1676677932,22.57335938,39544,16.41410959,1006.462834,56.66166285,0,0,0
1676677933,22.57667969,39959,16.39957808,1006.458135,56.70099945,0,1,1
