time,temperature,gas,humidity,pressure,altitude,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0
1677279633,17.22570313,7692,34.11578518,995.6272805,147.7652634,0,0,0
1677279634,17.2190625,1920,33.95381919,995.6365525,147.6869641,0,0,0
1677279635,17.17394531,3334,33.82755978,995.6410232,147.64921,0,0,0
1677279636,17.12179688,4454,33.7674451,995.654101,147.5387723,0,0,0
1677279638,17.0628125,5446,33.6457233,995.6591609,147.496043,0,0,0
1677279639,17.00636719,6362,33.53543613,995.6989316,147.1602019,0,0,0
1677279640,16.97140625,7244,33.53794449,995.7338359,146.8654633,0,0,0
1677279641,16.95460938,8212,33.69178671,995.7685174,146.5726137,0,0,0
1677279642,16.96105469,9035,33.7867207,995.8148365,146.1815106,0,0,0
1677279644,16.955,9853,34.05298525,995.833542,146.0235711,0,0,0
1677279645,16.92023438,10756,34.0165568,995.8331812,146.0266174,0,0,0
1677279646,16.85890625,11605,34.28391654,995.8444266,145.9316688,0,0,0
1677279647,16.8034375,12404,34.68066738,995.8450994,145.9259885,0,0,0
1677279648,16.75734375,13193,34.69890662,995.8563101,145.8313328,0,0,0
1677279649,16.71378906,14052,35.03056822,995.8598902,145.801106,0,0,0
1677279651,16.66886719,14776,35.11613737,995.852715,145.8616871,0,0,0
1677279652,16.61066406,15475,35.20615578,995.8894162,145.5518145,0,0,0
1677279653,16.5565625,16180,35.24612646,995.880454,145.6274824,0,0,0
1677279654,16.50890625,17009,35.4325344,995.8720735,145.6982396,0,0,0
1677279655,16.4659375,17684,35.70951344,995.8901233,145.5458442,0,0,0
1677279657,16.44425781,18382,35.57828552,995.9182846,145.3080812,0,0,0
1677279658,16.43996094,18982,35.82526698,996.0922358,143.8395486,0,0,0
1677279659,16.44210938,19660,35.73546145,996.0247265,144.4094519,0,0,0
1677279660,16.44054688,20210,35.89848652,995.9831877,144.7601311,0,0,0
1677279661,16.44015625,20771,36.13508051,995.960531,144.9514089,0,0,0
1677279663,16.45597656,21387,36.27192322,995.9192124,145.3002481,0,0,0
1677279664,16.49699219,22063,36.71094677,995.8792877,145.6373299,0,0,0
1677279665,16.5503125,22733,36.71590765,995.8547934,145.8441394,0,0,0
1677279666,16.63097656,23084,36.84804162,995.8386327,145.9805888,0,0,0
1677279667,16.72667969,23871,37.03280192,995.8661445,145.7482998,0,0,0
1677279669,16.81398438,24921,37.09777088,995.8982516,145.4772173,0,0,0
1677279670,16.88039063,25297,37.02454092,995.9005723,145.4576242,0,0,0
1677279671,16.9425,26100,37.03038162,995.9448369,145.0839073,0,0,0
1677279672,17.01417969,26396,36.9236251,996.005049,144.5755718,0,0,0
1677279673,17.07882813,27451,36.68026126,996.0010042,144.6097192,0,1,1
1677279674,17.13117188,28151,36.48701319,995.9849015,144.7456631,0,1,1
1677279676,17.19464844,28612,36.22722637,995.9737835,144.8395254,0,1,1
1677279677,17.26730469,28988,36.09280152,995.9677764,144.8902401,0,1,1
1677279678,17.32414063,29333,36.03033981,995.9709749,144.8632368,0,1,1
1677279679,17.36730469,29898,35.93843889,995.9835832,144.7567922,0,1,1
1677279680,17.40597656,30397,35.76166266,996.032775,144.3415054,0,1,1
1677279682,17.42003906,30663,35.85873718,996.0443441,144.2438397,0,1,1
1677279683,17.43097656,31398,35.8146615,996.0507049,144.1901426,0,1,1
1677279684,17.44542969,31998,35.79908821,996.0663149,144.0583651,0,1,1
1677279685,17.45285156,32671,35.73780848,996.0837698,143.9110153,0,1,1
