Epoch time,Latitude,Longitude,Radiation(cps)
1682120238.7228012,37.870026,-122.257513,35.4
1682120244.13106,37.870011,-122.257475,27.0
1682120249.5377972,37.869983,-122.257411,28.8
1682120254.9645262,37.869971,-122.257285,29.4
1682120260.376757,37.86998,-122.257181,33.2
1682120265.785458,37.870015,-122.257161,41.0
1682120271.2128742,37.870056,-122.257161,43.2
1682120276.6540227,37.870073,-122.25718,41.2
1682120282.1120415,37.870033,-122.25715,39.8
1682120287.5287168,37.869965,-122.257116,35.2
1682120292.978042,37.86993,-122.257121,25.4
1682120298.4060988,37.869946,-122.257111,27.2
1682120303.8995817,37.87006,-122.257118,29.8
1682120309.3476548,37.870116,-122.257164,32.2
1682120314.820924,37.87017,-122.257206,30.2
1682120320.3577876,37.870221,-122.257226,26.2
1682120325.8234518,37.870255,-122.257251,25.6
1682120331.26729,37.870296,-122.257281,25.2
1682120336.760726,37.870353,-122.257285,35.0
1682120342.221879,37.870426,-122.257286,39.0
1682120347.694043,37.870483,-122.257278,28.6
1682120353.163711,37.870571,-122.257238,32.0
1682120358.6570423,37.870641,-122.257305,35.4
1682120364.205127,37.87076,-122.2574,33.4
1682120369.6786773,37.870805,-122.25744,35.8
1682120375.167365,37.870855,-122.257446,32.6
1682120380.7044473,37.870925,-122.257565,34.6
1682120386.2715352,37.87098,-122.257595,39.4
1682120391.768004,37.871024,-122.25761,40.2
1682120397.260098,37.871063,-122.257701,46.6
1682120402.8212574,37.871083,-122.257745,49.4
1682120408.382477,37.871153,-122.257764,42.2
1682120413.9295225,37.871209,-122.257818,37.4
1682120419.4711506,37.871465,-122.257881,32.6
1682120425.0353954,37.871525,-122.257851,33.2
1682120430.5607378,37.871571,-122.257808,31.0
1682120436.1129491,37.871618,-122.257761,29.6
1682120441.6624494,37.87169,-122.257733,41.0
1682120447.2108946,37.871781,-122.25772,47.4
1682120452.7520487,37.871816,-122.257635,37.4
1682120458.305141,37.871863,-122.25756,38.4
1682120463.8882437,37.8719,-122.257551,38.0
1682120469.4139872,37.871969,-122.257515,33.8
1682120475.0430417,37.87204,-122.257536,39.2
1682120480.62194,37.872055,-122.257641,41.2
1682120486.2104013,37.872078,-122.257724,40.0
1682120491.790077,37.872138,-122.257771,42.8
1682120497.343319,37.872235,-122.257758,39.8
1682120502.9093733,37.872315,-122.257796,38.8
1682120508.5013547,37.872388,-122.257818,34.2
1682120514.1169772,37.872456,-122.257823,34.8
1682120519.6770177,37.872533,-122.257805,36.4
1682120525.3333812,37.872676,-122.257831,35.6
1682120530.9501352,37.872753,-122.257828,33.6
1682120536.5306897,37.872831,-122.257841,36.6
1682120542.1571958,37.87291,-122.257881,32.4
1682120547.7488325,37.872978,-122.257931,30.6
1682120553.412493,37.873046,-122.257973,35.4
1682120559.0493762,37.873111,-122.257994,34.2
1682120564.672842,37.873186,-122.257994,36.4
1682120570.3246381,37.873323,-122.258048,35.6
1682120575.937942,37.873366,-122.258098,35.2
1682120581.5531766,37.873413,-122.258125,45.2
1682120587.320315,37.873451,-122.25811,41.4
1682120592.9785392,37.873471,-122.258104,39.8
1682120598.60172,37.87343,-122.258213,45.2
1682120604.2318552,37.873398,-122.258256,40.2
1682120609.8728075,37.873373,-122.258233,42.4
1682120615.5626237,37.873405,-122.258416,42.6
1682120621.2306623,37.873463,-122.258471,42.4
1682120626.867101,37.873523,-122.258498,42.0
1682120632.5024881,37.873585,-122.258466,44.4
1682120638.1997054,37.873691,-122.258371,37.4
1682120643.8560512,37.873776,-122.258283,45.6
1682120649.510893,37.873791,-122.258173,58.8
1682120655.2152596,37.873828,-122.25811,55.2
1682120660.9210296,37.873816,-122.258029,47.4
1682120666.6681123,37.873783,-122.258023,46.8
1682120672.3457258,37.873796,-122.25806,49.6
1682120678.0768902,37.873816,-122.258028,45.4
1682120683.7568119,37.87383,-122.258031,47.6
1682120689.4073217,37.87384,-122.258043,39.8
1682120695.1079865,37.873813,-122.258061,46.6
1682120700.8364632,37.87374,-122.258198,42.2
1682120706.5105836,37.873735,-122.258196,51.8
1682120712.2746885,37.873695,-122.258224,47.0
1682120718.0155041,37.87379,-122.25824,48.6
1682120723.7287254,37.873785,-122.258201,43.0
1682120729.470674,37.873761,-122.258211,49.4
1682120735.2045832,37.873728,-122.258166,49.2
1682120740.971182,37.873718,-122.258113,46.4
1682120746.709169,37.873706,-122.258103,48.6
1682120752.4505405,37.873711,-122.258093,51.2
1682120758.2109683,37.873725,-122.258081,46.4
1682120763.982638,37.87374,-122.258093,43.4
1682120769.737502,37.873758,-122.258091,42.8
1682120775.6229334,37.873765,-122.258073,36.8
1682120781.3521588,37.873806,-122.258069,38.6
1682120787.12603,37.873821,-122.258069,37.4
1682120792.9820304,37.873826,-122.258063,38.2
1682120798.7802258,37.873878,-122.258061,42.8
1682120804.578927,37.873911,-122.258068,47.2
1682120810.4275155,37.873918,-122.258065,40.2
1682120816.3976862,37.873865,-122.258131,42.2
1682120822.2369328,37.873849,-122.258181,43.4
1682120828.0820334,37.873871,-122.258113,47.0
1682120833.8783588,37.873886,-122.258116,48.2
1682120839.631245,37.873885,-122.25809,48.0
1682120845.3943298,37.873851,-122.258079,49.8
1682120851.2320197,37.873791,-122.258078,50.4
1682120857.0227392,37.873845,-122.258081,48.4
1682120862.7804945,37.873868,-122.258081,50.8
